eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2044.29,26.87,108,0.00018951482,0.009114583,0.20469926,-0.0023674495,0.003114906,0.9318477883934975,3436,439808,8411.063271986,879616
2044.29,26.87,111,0.00027718625,0.018229166,0.17939758,-0.003925039,0.0026216889,0.9410138726234436,3437,439936,8413.369757365988,879872
2044.29,26.87,113,0.000280507,0.015625,0.22885202,-0.0028853205,0.002388712,0.9467805624008179,3438,440064,8415.623611146002,880128
2044.29,26.87,113,0.00021039118,0.009114583,0.28281605,-0.003298888,0.0019499036,0.95573740452528,3439,440192,8417.873900054983,880384
2044.29,26.87,114,0.0002539695,0.010416667,0.20126724,-0.0021118496,0.002272825,0.9478872865438461,3440,440320,8420.113976410998,880640
2044.29,26.87,112,0.00045926706,0.028645834,0.3394889,-0.002584504,0.0045595285,0.8945136368274689,3441,440448,8422.381871617981,880896
2044.29,26.87,112,0.00045250426,0.016927084,0.29679975,-0.003480951,0.0026021376,0.9503393918275833,3442,440576,8424.649837617995,881152
2044.29,26.87,112,0.0003904913,0.018229166,0.19761921,-0.0014217636,0.0010539468,0.9727633614093065,3443,440704,8426.933388768986,881408
2044.29,26.87,113,0.00018295537,0.0078125,0.24147433,-0.003006678,0.0010407259,0.9776270147413015,3444,440832,8429.182401839993,881664
2044.29,26.87,113,0.00030547174,0.018229166,0.15068252,-0.002524442,0.0013208813,0.9720788821578026,3445,440960,8431.448341003008,881920
2044.29,26.87,113,0.0007622991,0.048177082,0.2612172,-0.0053706914,0.001859364,0.9617611467838287,3446,441088,8433.700155984,882176
2044.29,26.87,108,0.00017026231,0.0078125,0.3212466,-0.0017067151,0.0017759502,0.9685580097138882,3447,441216,8436.068123701,882432
2044.29,26.87,113,0.00014175329,0.00390625,0.20612772,-0.002485169,0.0013120578,0.9733991269022226,3448,441344,8438.329310814996,882688
2044.29,26.87,111,0.0011052002,0.029947916,0.21587686,-0.0024111767,0.0010702051,0.975582480430603,3449,441472,8440.621321815008,882944
2044.31,26.96,110,0.00019122641,0.0078125,0.2402577,-0.0014604997,0.026600612,0.7998465299606323,3450,441600,8442.944555194,883200
2044.31,26.96,112,0.00048108023,0.024739584,0.29013678,-0.0027412546,0.0042308243,0.9191264510154724,3451,441728,8445.214368994988,883456
2044.31,26.96,113,0.00025535774,0.01171875,0.21532828,-0.00209437,0.001552138,0.9636158682405949,3452,441856,8447.479515138984,883712
2044.31,26.96,112,0.00012130515,0.00390625,0.21750225,-0.0018657502,0.0017972711,0.9629765264689922,3453,441984,8449.754655505996,883968
2044.31,26.96,112,0.00021341209,0.0065104165,0.20850624,-0.002324293,0.002570729,0.9480762593448162,3454,442112,8452.02553848899,884224
2044.31,26.96,102,0.0001772947,0.013020833,0.26779312,-0.0018785024,0.0020665948,0.9536406472325325,3455,442240,8454.533367703989,884480
2044.31,26.96,96,0.00023211935,0.010416667,0.20730264,-0.0030280089,0.003664827,0.9215617328882217,3456,442368,8457.187502468994,884736
2044.31,26.96,108,0.00044213122,0.028645834,0.33251843,-0.0040830895,0.0026639018,0.9592562168836594,3457,442496,8459.549391695997,884992
2044.31,26.96,112,0.00022925549,0.015625,0.15445442,-0.0027002029,0.0023636413,0.9626840092241764,3458,442624,8461.816730232997,885248
2044.31,26.96,113,0.0006689727,0.029947916,0.20377235,-0.0024422936,0.0024964253,0.9477575123310089,3459,442752,8464.072552027996,885504
2044.31,26.96,110,0.00050743093,0.018229166,0.20690362,-0.0027322865,0.0045802393,0.887503907084465,3460,442880,8466.397419488,885760
2044.31,26.96,111,0.0004456275,0.0234375,0.18295504,-0.004609977,0.0011991047,0.9812939241528511,3461,443008,8468.69824527498,886016
2044.31,26.96,111,0.00083055976,0.041666668,0.23886283,-0.0061114836,0.0021166683,0.9543375261127949,3462,443136,8471.001360764,886272
2044.31,26.96,114,0.00018936592,0.0078125,0.293348,-0.0016983993,0.0075810966,0.8714334517717361,3463,443264,8473.239906387986,886528
2044.31,26.96,112,0.00041060694,0.01953125,0.24791317,-0.0043256185,0.0016794583,0.9726189728826284,3464,443392,8475.511646550993,886784
2044.31,26.96,78,9.0769616e-05,0.0013020834,0.18703157,-0.00052497274,0.0030050066,0.9258349537849426,3465,443520,8478.763977049995,887040
2044.33,27.02,98,0.00019407879,0.010416667,0.18050523,4.8121437e-06,0.054328594,0.47978270053863525,3466,443648,8481.361298698,887296
2044.33,27.02,102,0.0008221801,0.045572918,0.26516598,-0.0027519127,0.0025609292,0.941705696284771,3467,443776,8483.87094197498,887552
2044.33,27.02,111,0.0012451046,0.044270832,0.21552674,-0.0040238253,0.0037249085,0.913311742246151,3468,443904,8486.17707628,887808
2044.33,27.02,113,0.0007349365,0.032552082,0.25885344,-0.0033408816,0.0035882697,0.9229429438710213,3469,444032,8488.430977776006,888064
2044.33,27.02,113,0.00036080473,0.016927084,0.25572535,-0.0034827895,0.0018573814,0.9586517177522182,3470,444160,8490.678916103003,888320
2044.33,27.02,111,0.00024006364,0.010416667,0.29220486,-0.002773403,0.0016550916,0.9659974910318851,3471,444288,8492.96765422399,888576
2044.33,27.02,113,0.00014087043,0.00390625,0.17769893,-0.0023702467,0.0026053963,0.9460251592099667,3472,444416,8495.219879960001,888832
2044.33,27.02,113,0.00060683006,0.024739584,0.38265908,-0.0026146297,0.0028126147,0.9369753897190094,3473,444544,8497.477655905008,889088
2044.33,27.02,111,0.0003260998,0.01171875,0.25603142,-0.0037631334,0.002843247,0.9574521519243717,3474,444672,8499.784403325,889344
2044.33,27.02,114,0.0010119939,0.061197918,0.2542009,-0.0037667202,0.0012508536,0.9711139351129532,3475,444800,8502.028100965981,889600
2044.33,27.02,114,0.0001934248,0.0078125,0.2093246,-0.0016244223,0.0020256818,0.9590907990932465,3476,444928,8504.273748528998,889856
2044.33,27.02,113,0.00064374984,0.037760418,0.25182393,-0.0046839,0.004562238,0.9235283881425858,3477,445056,8506.537780519982,890112
2044.33,27.02,111,0.00043353692,0.022135416,0.31768566,-0.0044287294,0.0012390105,0.9783409293740988,3478,445184,8508.836937051004,890368
2044.33,27.02,112,0.0005260682,0.029947916,0.2951652,-0.0029149682,0.00091509963,0.9807760808616877,3479,445312,8511.119788284996,890624
2044.33,27.02,113,0.00024227607,0.0078125,0.26680812,-0.0018872949,0.0017413422,0.9591741487383842,3480,445440,8513.370339675981,890880
2044.33,27.02,113,0.00046752,0.02734375,0.24327697,-0.0026115642,0.0024966435,0.9471940249204636,3481,445568,8515.628461844986,891136
2044.32,27.08,110,0.00017709057,0.009114583,0.18623848,-0.0014603398,0.03069079,0.789885625243187,3482,445696,8517.954631687986,891392
2044.32,27.08,105,0.00026849742,0.016927084,0.2882628,-0.0016281394,0.0022926123,0.9466654174029827,3483,445824,8520.384484254988,891648
2044.32,27.08,108,0.00035505995,0.014322917,0.2750028,-0.001826604,0.002084211,0.9514010213315487,3484,445952,8522.754107015993,891904
2044.32,27.08,112,0.00036798933,0.022135416,0.25198805,-0.0027489942,0.0044949655,0.8932582065463066,3485,446080,8525.038648027985,892160
2044.32,27.08,109,0.0003831659,0.014322917,0.25285873,-0.003214659,0.0030132562,0.9256835281848907,3486,446208,8527.367841019994,892416
2044.32,27.08,111,0.0002498915,0.009114583,0.2887104,-0.002414402,0.0015598309,0.9684554040431976,3487,446336,8529.664059707982,892672
